date | value
2011-01-03 | 3
211-01-03 | 3
2011-1-03 | 3
2011-01-3 | 3
2111-01-03 | 3
2011-01-03 | 3
2005-01-03 | 3
2011-01-03| 3
2011-01-03 |3
2011-01-03 | 
2011-01-032 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2012-00-11 | 1
2012-13-11 | 1
2012-23-00 | 1
2012-01-32 | 1
2012-01-31 | 1
2012-12-11 | 1
2012-01-01 | 1
2012-01-54 | 1
2012-01-11 | 1
2012-01-11 | 1
2010-10-19 | 2
2010-02-29 | 2
2010-02-31 | 2
2010-10-18 | 2
2010-10-20 | 2
